Year,Pivot Field Names,Pivot Field Values
2007,Coal Elec Per Capita,114315.182
2008,Coal Elec Per Capita,110103.659
2009,Coal Elec Per Capita,103542.421
2010,Coal Elec Per Capita,106643.717
2011,Coal Elec Per Capita,107327.724
2012,Coal Elec Per Capita,104312.566
2013,Coal Elec Per Capita,104011.098
2014,Coal Elec Per Capita,100425.152
2015,Coal Elec Per Capita,99724.903
2016,Coal Elec Per Capita,98338.002
2017,Coal Elec Per Capita,97536.379
2018,Coal Elec Per Capita,96606.644
2019,Coal Elec Per Capita,89229.379
2020,Coal Elec Per Capita,64921.195
1900,Biofuel Elec Per Capita,0
1901,Biofuel Elec Per Capita,0
1902,Biofuel Elec Per Capita,0
1903,Biofuel Elec Per Capita,0
1904,Biofuel Elec Per Capita,0
1905,Biofuel Elec Per Capita,0
1906,Biofuel Elec Per Capita,0
1907,Biofuel Elec Per Capita,0
1908,Biofuel Elec Per Capita,0
1909,Biofuel Elec Per Capita,0
1910,Biofuel Elec Per Capita,0
1911,Biofuel Elec Per Capita,0
1912,Biofuel Elec Per Capita,0
1913,Biofuel Elec Per Capita,0
1914,Biofuel Elec Per Capita,0
1915,Biofuel Elec Per Capita,0
1916,Biofuel Elec Per Capita,0
1917,Biofuel Elec Per Capita,0
1918,Biofuel Elec Per Capita,0
1919,Biofuel Elec Per Capita,0
1920,Biofuel Elec Per Capita,0
1921,Biofuel Elec Per Capita,0
1922,Biofuel Elec Per Capita,0
1923,Biofuel Elec Per Capita,0
1924,Biofuel Elec Per Capita,0
1925,Biofuel Elec Per Capita,0
1926,Biofuel Elec Per Capita,0
1927,Biofuel Elec Per Capita,0
1928,Biofuel Elec Per Capita,0
1929,Biofuel Elec Per Capita,0
1930,Biofuel Elec Per Capita,0
1931,Biofuel Elec Per Capita,0
1932,Biofuel Elec Per Capita,0
1933,Biofuel Elec Per Capita,0
1934,Biofuel Elec Per Capita,0
1935,Biofuel Elec Per Capita,0
1936,Biofuel Elec Per Capita,0
1937,Biofuel Elec Per Capita,0
1938,Biofuel Elec Per Capita,0
1939,Biofuel Elec Per Capita,0
1940,Biofuel Elec Per Capita,0
1941,Biofuel Elec Per Capita,0
1942,Biofuel Elec Per Capita,0
1943,Biofuel Elec Per Capita,0
1944,Biofuel Elec Per Capita,0
1945,Biofuel Elec Per Capita,0
1946,Biofuel Elec Per Capita,0
1947,Biofuel Elec Per Capita,0
1948,Biofuel Elec Per Capita,0
1949,Biofuel Elec Per Capita,0
1950,Biofuel Elec Per Capita,0
1951,Biofuel Elec Per Capita,0
1952,Biofuel Elec Per Capita,0
1953,Biofuel Elec Per Capita,0
1954,Biofuel Elec Per Capita,0
1955,Biofuel Elec Per Capita,0
1956,Biofuel Elec Per Capita,0
1957,Biofuel Elec Per Capita,0
1958,Biofuel Elec Per Capita,0
1959,Biofuel Elec Per Capita,0
1960,Biofuel Elec Per Capita,0
1961,Biofuel Elec Per Capita,0
1962,Biofuel Elec Per Capita,0
1963,Biofuel Elec Per Capita,0
1964,Biofuel Elec Per Capita,0
1965,Biofuel Elec Per Capita,0
1966,Biofuel Elec Per Capita,0
1967,Biofuel Elec Per Capita,0
1968,Biofuel Elec Per Capita,0
1969,Biofuel Elec Per Capita,0
1970,Biofuel Elec Per Capita,0
1971,Biofuel Elec Per Capita,0
1972,Biofuel Elec Per Capita,0
1973,Biofuel Elec Per Capita,0
1974,Biofuel Elec Per Capita,0
1975,Biofuel Elec Per Capita,0
1976,Biofuel Elec Per Capita,0
1977,Biofuel Elec Per Capita,0
1978,Biofuel Elec Per Capita,0
1979,Biofuel Elec Per Capita,0
1980,Biofuel Elec Per Capita,0
1981,Biofuel Elec Per Capita,0
1982,Biofuel Elec Per Capita,0
1983,Biofuel Elec Per Capita,0
1984,Biofuel Elec Per Capita,0
1985,Biofuel Elec Per Capita,0
1986,Biofuel Elec Per Capita,0
1987,Biofuel Elec Per Capita,0
1988,Biofuel Elec Per Capita,0
1989,Biofuel Elec Per Capita,0
1990,Biofuel Elec Per Capita,0
1991,Biofuel Elec Per Capita,0
1992,Biofuel Elec Per Capita,0
1993,Biofuel Elec Per Capita,0
1994,Biofuel Elec Per Capita,0
1995,Biofuel Elec Per Capita,0
1996,Biofuel Elec Per Capita,0
1997,Biofuel Elec Per Capita,0
1998,Biofuel Elec Per Capita,0
1999,Biofuel Elec Per Capita,0
2000,Biofuel Elec Per Capita,6212.661
2001,Biofuel Elec Per Capita,6429.162
2002,Biofuel Elec Per Capita,6930.146
2003,Biofuel Elec Per Capita,7293.288
2004,Biofuel Elec Per Capita,8371.596
2005,Biofuel Elec Per Capita,8703.236
2006,Biofuel Elec Per Capita,9544.377
2007,Biofuel Elec Per Capita,9885.59
2008,Biofuel Elec Per Capita,10595.851
2009,Biofuel Elec Per Capita,11004.875
2010,Biofuel Elec Per Capita,12967.056
2011,Biofuel Elec Per Capita,13455.601
2012,Biofuel Elec Per Capita,14415.803
2013,Biofuel Elec Per Capita,14697.378
2014,Biofuel Elec Per Capita,15283.774
2015,Biofuel Elec Per Capita,15943.546
2016,Biofuel Elec Per Capita,16726.491
2017,Biofuel Elec Per Capita,17505.713
2018,Biofuel Elec Per Capita,18289.54
2019,Biofuel Elec Per Capita,18483.436
2020,Biofuel Elec Per Capita,15433.44
