iso_code,country,year,biofuel,coal,gas,hydro,nuclear,oil,renewables,solar,wind,total
PRT,Portugal,2019,334.42,588.136,1646.204,900.739,0,116.118,2717.737,121.33,1338.718,5068.195
TCA,Turks and Caicos Islands,2019,0,0,0,0,0,5043.86,0,0,0,5043.86
BIH,Bosnia and Herzegovina,2019,3.231,3022.181,0,1823.747,0,0,1913.013,9.088,76.946,4935.194
BHS,Bahamas,2019,0,0,0,0,0,4903.171,8.979,8.979,0,4912.15
ITA,Italy,2019,315.859,324.818,2270.118,774.191,0,263.431,1933.585,407.436,335.57,4791.951
GRC,Greece,2019,29.989,1166.697,1542.433,408.319,0,556.41,1509.268,379.652,691.309,4774.808
GBR,United Kingdom,2019,503.009,102.786,1943.973,86.75,846.681,100.522,1737.495,192.062,955.536,4731.456
LAO,Laos,2019,8.183,2002.51,0,2696.331,0,0,2707.305,2.79,0,4709.814
HKG,Hong Kong,2019,13.134,0,0,0,0,4651.291,13.403,0.134,0.134,4664.694
URY,Uruguay,2019,726.459,0,32.006,2318.579,0,46.463,4540.127,122.184,1372.906,4618.596
LBY,Libya,2019,0,0,4357.607,0,0,226.528,1.18,1.18,0,4585.316
MLT,Malta,2019,20.345,0,3966.775,0,0,41.145,451.332,430.855,0.132,4459.252
SYC,Seychelles,2019,0,0,0,0,0,4370.748,51.02,51.02,0,4421.769
POL,Poland,2019,179.817,3136.993,383.5,50.882,0,125.055,646.765,19.127,396.939,4292.314
MTQ,Martinique,2019,296.096,0,0,0,0,3885.638,311.521,0,15.426,4197.16
GLP,Guadeloupe,2019,178.363,0,0,0,0,3623.333,559.363,250,131,4182.697
CHL,Chile,2019,229.633,995.358,616.662,1090.4,0,602.823,1922.744,323.765,268.341,4137.587
CYP,Cyprus,2019,47.453,0,0,0,0,3679.806,413.983,166.383,200.147,4093.79
ZAF,South Africa,2019,7.565,3434.479,29.383,18.377,232.3,91.534,221.185,82.124,113.119,4008.88
GUF,French Guiana,2019,34.144,0,1314.103,1900.344,0,571.349,2106.309,171.821,0,3991.762
BLR,Belarus,2019,35.548,0,3880.235,36.449,0,0,109.979,19.149,18.832,3990.214
SRB,Serbia,2019,13.224,2699.517,0,1148.003,0,0,1259.494,1.596,96.671,3959.011
KNA,Saint Kitts and Nevis,2019,0,0,0,0,0,3553.459,143.396,0,143.396,3696.855
IRN,Iran,2019,0.289,7.206,2295.401,362.68,70.748,950.094,370.712,2.943,4.8,3694.162
N/A,Reunion,2019,209.299,0,0,676.04,0,2397.075,1180.952,281.215,14.398,3578.028
TKM,Turkmenistan,2019,0,0,1216.819,0.05,0,2347.976,0.05,0,0,3564.846
BRB,Barbados,2019,0,0,0,0,0,3396.051,139.373,139.373,0,3535.424
ATG,Antigua and Barbuda,2019,0,0,0,0,0,3367.698,154.639,154.639,0,3522.337
NRU,Nauru,2019,0,0,0,0,0,3515.152,0,0,0,3515.152
HUN,Hungary,2019,243.592,406.352,863.619,24.957,1681.724,54.672,488.406,141.546,77.853,3494.773
TUR,Turkey,2019,39.35,1264.73,641.589,1054.742,0,14.288,1560.66,109.793,255.827,3481.267
LVA,Latvia,2019,459.972,0.18,1745.381,1105.403,0,0,1643.699,0.668,77.656,3389.26
OWID_WRL,World,2019,74.226,1177.372,770.485,552.442,352.717,141.222,915.942,91.272,183.698,3357.738
UKR,Ukraine,2019,6.478,999.383,190.228,174.736,1776.242,44.073,237.131,22.685,33.232,3247.057
SUR,Suriname,2019,11.103,0,0,2003.855,0,1188.078,2032.17,17.212,0,3220.248
VEN,Venezuela,2019,0,0,1298.977,1824.987,0,0,1827.687,0.21,2.49,3126.665
ROU,Romania,2019,26.731,702.61,471.48,808.431,582.434,36.4,1277.413,92.757,349.494,3070.337
HRV,Croatia,2019,202.433,392.537,629.197,1420.323,0,10.465,2009.206,18.92,348.866,3041.405
LBN,Lebanon,2019,0,0,1351.133,43.956,0,1624.665,56.499,11.669,0.875,3032.298
ASM,American Samoa,2019,0,0,0,0,0,2963.636,0,0,0,2963.636
ARG,Argentina,2019,38.498,16.54,1915.692,610.413,177.017,75.309,778.363,17.865,111.588,2962.922
BRA,Brazil,2019,258.299,117.42,268.664,1866.373,72.135,35.978,2421.478,31.533,265.274,2915.675
GEO,Georgia,2019,0,0,670.723,2212.329,0,0,2233.595,0,21.266,2904.318
MKD,North Macedonia,2019,0,0,0,558.653,0,0,645.132,11.151,48.875,2817.94
MSR,Montserrat,2019,0,0,0,0,0,2733.333,0,0,0,2733.333
VNM,Vietnam,2019,1.306,1378.863,528.672,698.65,0,13.007,769.103,61.268,7.879,2689.645
