iso_code,country,year,biofuel_elec_per_capita,biofuel_consumption,biofuel_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,renewables_electricity,solar_electricity,wind_electricity,energy_per_gdp,energy_per_capita,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_consumption,renewables_energy_per_capita,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
ALB,Albania,1989,0,0,0,0,0,0,6.001,1842.035,0,0,0,0,0,0,0,0,0,0,0,4.651,16823.429,0,0,0,0,0,0,7.678,2356.643,0,0,0,0,0,0,0,0,0,31.727,9738.297,0,3258000,54.811,0,0,0,0,0,0,0,0,0
ALB,Albania,1999,0,0,0,0,0,0,0.134,42.937,0,0,0,0,0,0,0,0,0,0,0,1.355,6950.943,0,0,0,0,0,0,0.216,69.259,0,0,0,0,0,0,0,0,0,3.764,1205.135,0,3123000,21.708,0,0,0,0,0,0,0,0,0
ALB,Albania,2009,0,0,0,0,0,0,0.027,9.205,5.201,0,0,0,0,5.201,0,0,5.201,0,0,1.157,10899.704,0,0,0,0,0,0,0.314,105.681,0,1749.411,0,0,0,0,0,0,0,3.597,1209.952,1749.411,2973000,32.405,1749.411,0,0,0,0,0,0,0,0
ALB,Albania,2019,0,0,0,0,0,0,0,0,5.176,0,0,0,0,5.154,0,0,5.176,0.022,0,0,0,0,0,0,0,0,0,0,0,0,1788.941,0,0,0,0,0,0,0,0,0,1796.578,2881000,0,1796.578,0,0,0,7.636,0,0,0,0
DZA,Algeria,1959,0,0,0,0,0,0,0.993,92.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.465,135.897,0,0,0,0,0,0,0,0,0,14.328,1328.774,0,10783000,0,0,0,0,0,0,0,0,0,0
DZA,Algeria,1969,0,0,0,0.814,0,57.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380.495,32.472,2309.184,0,10.352,0,736.147,0,0,1.003,0,71.311,0,0,0,21.306,0,1515.143,515.949,36691.036,0,14062000,33.475,0,1.003,71.311,0,0,0,0,0,0
DZA,Algeria,1979,0,0,0,0.837,0,44.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707,7962.687,147.68,7919.34,0,81.524,0,4371.719,188.535,10110.181,0.808,0,43.347,0,0,0,65.319,0,3502.717,674.449,36167.339,0,18648000,148.488,0,0.808,43.347,0,0,0,0,0,0
DZA,Algeria,1989,0,0,0,9.781,0,389.582,0,0,15.324,0,0,0,0,0.226,0,0,0.226,0,0,1.449,11830.957,296.4,11805.952,0,182.683,0,7276.454,485.832,19351.231,0.628,9.002,25.005,0,0,0,103.937,0,4139.917,632.63,25198.349,610.372,25106000,297.028,9.002,0.628,25.005,0,0,0,0,0,0
DZA,Algeria,1999,0,0,0,6.827,0,222.931,0,0,24.757,0,0,0,0,0.203,0,0,0.203,0,0,1.409,10168.763,310.834,10150.35,0,205.109,0,6697.871,901.07,29424.611,0.564,6.629,18.414,0,0,0,98.898,0,3229.547,679.581,22191.849,808.445,30623000,311.398,6.629,0.564,18.414,0,0,0,0,0,0
DZA,Algeria,2009,0,0,0,5.652,0,159.964,0,0,36.206,0,0,35.903,35.903,0.303,0,0,0.303,0,0,1.145,12701.699,447.905,12676.306,1016.103,262.118,1016.103,7418.289,765.669,21669.479,0.897,8.575,25.393,0,0,0,180.135,0,5098.052,896.773,25379.897,1024.679,35334000,448.802,8.575,0.897,25.393,0,0,0,0,0,0
DZA,Algeria,2019,0,0,0,5.815,0,135.066,0,0,74.348,0,0,73.616,73.616,0.106,0,0,0.732,0.615,0.011,0,16376.102,703.118,16331.441,1709.888,452.375,1709.888,10507.406,862.401,20031.14,0.375,2.472,8.714,0,0,0,244.927,0,5688.969,746.781,17345.616,1726.9,43053000,705.04,17.013,1.923,44.661,1.523,14.285,35.372,0.025,0.255,0.575
ASM,American Samoa,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49778.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46000,2.29,0,0,0,0,0,0,0,0,0
ASM,American Samoa,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41187.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57000,2.348,0,0,0,0,0,0,0,0,0
ASM,American Samoa,2009,0,0,0,0,0,0,0,0,0.178,0,0,0.178,0,0,0,0.178,0,0,0,0,44291.845,0,0,3122.807,0,0,0,0,0,0,0,0,0,0,0,0,3122.807,0,0,0,3122.807,57000,2.525,0,0,0,0,0,0,0,0,0
ASM,American Samoa,2019,0,0,0,0,0,0,0,0,0.163,0,0,0.163,0,0,0,0.163,0,0,0,0,0,0,0,2963.636,0,0,0,0,0,0,0,0,0,0,0,0,2963.636,0,0,0,2963.636,55000,0,0,0,0,0,0,0,0,0,0
AGO,Angola,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593,110.227,0,5381000,0,0,0,0,0,0,0,0,0,0
AGO,Angola,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.54,4917.321,0,5804000,0,0,0,0,0,0,0,0,0,0
AGO,Angola,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.6,10374.791,0,8058000,0,0,0,0,0,0,0,0,0,0
AGO,Angola,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.249,1908.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.899,22950.588,0,11455000,21.86,0,0,0,0,0,0,0,0,0
AGO,Angola,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.383,1736.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.128,26856.25,0,15867000,27.549,0,0,0,0,0,0,0,0,0
AGO,Angola,2009,0,0,0,0,0,0,0,0,4.606,0,0,1.543,0.84,3.063,0,0.703,3.063,0,0,1.005,3369.969,0,0,68.515,0,37.309,0,0,0,0,136.049,0,0,0,0,0,31.205,0,998.984,44371.67,204.563,22514000,75.871,136.049,0,0,0,0,0,0,0,0
AGO,Angola,2019,7.939,0,0,0,0,0,0,0,12.478,0.253,0,2.357,1.284,9.85,0,1.074,10.121,0.018,0,0,0,0,0,74.068,0,40.333,0,0,0,0,309.501,0,0,0,0,0,33.734,0,801.912,25197.536,392.074,31825000,0,318.006,0,0,0,0.566,0,0,0,0
ATG,Antigua and Barbuda,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27232.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62000,1.688,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27359.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000,2.052,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,2009,0,0,0,0,0,0,0,0,0.308,0,0,0.308,0,0,0,0.308,0,0,0,0,33759.269,0,0,3540.23,0,0,0,0,0,0,0,0,0,0,0,0,3540.23,0,0,0,3540.23,87000,2.937,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,2019,0,0,0,0,0,0,0,0,0.342,0,0,0.327,0,0,0,0.327,0.015,0.015,0,0,0,0,0,3367.698,0,0,0,0,0,0,0,0,0,0,0,0,3367.698,0,0,0,3522.337,97000,0,154.639,0,0,0,154.639,0,0,0,0
ARG,Argentina,1959,0,0,0,0,0,0,2.066,102.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.235,458.379,0,0,0,0,0,0,0,0,0,74.176,3681.932,0,20146000,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,1969,0,0,0,9.122,0,387.881,0,0,0,0,0,0,0,0,0,0,0,0,0,1.283,15164.666,352.909,15005.922,0,51.805,0,2202.786,0,0,3.733,0,158.744,0,0,0,291.982,0,12415.256,210.24,8939.525,0,23518000,356.643,0,3.733,158.744,0,0,0,0,0,0
ARG,Argentina,1979,0,0,0,12.502,0,455.087,0,0,0,0,0,0,0,0,0,0,0,0,0,1.146,16772.76,423.441,15414.115,0,102.891,0,3745.425,70.312,2559.492,29.611,0,1077.905,7.478,0,272.206,308.049,0,11213.603,281.896,10261.584,0,27471000,460.764,0,29.846,1086.439,0,0,0,0,0,0
ARG,Argentina,1989,0,0,0,14.903,26.907,463.568,0,0,50.863,0,0.865,32.376,24.307,12.965,5.039,7.204,13.084,0,0,1.33,16131.472,468.252,14565.503,1007.105,206.559,756.11,6425.257,184.678,5744.615,36.014,403.291,1120.254,13.997,156.744,435.4,246.79,224.089,7676.678,281.337,8751.308,1582.145,32148000,518.595,407.004,36.346,1130.569,0,0,0,0,0,0
ARG,Argentina,1999,0,0,0,9.885,57.751,271.08,0,0,80.745,0,2.106,46.146,40.209,26.53,7.106,3.831,27.215,0,0.035,1.18,18084.557,564.152,15470.218,1265.418,314.701,1102.614,8629.754,336.194,9219.116,73.695,727.509,2020.86,19.739,194.861,541.281,239.566,105.054,6569.383,484.054,13273.766,2214.186,36467000,659.49,746.3,75.598,2073.058,0,0.001,0.002,0.097,0.954,2.649
ARG,Argentina,2009,33.743,0,0,9.621,44.676,237.654,0,0,116.301,1.366,1.809,73.782,56.819,33.527,7.59,15.154,34.929,0,0.036,1.231,21043.171,718.798,17755.558,1822.543,418.356,1403.529,10334.114,403.012,9955.098,106.993,828.175,2642.9,21.468,187.486,530.291,290.821,374.338,7183.791,395.285,9764.223,2872.838,40483000,851.891,862.809,111.625,2757.322,0,0.002,0.005,0.097,0.889,2.387
ARG,Argentina,2019,38.498,18.322,409.147,6.348,16.54,141.75,0,0,132.683,1.724,0.741,89.9,85.787,27.335,7.927,3.372,34.856,0.8,4.997,0,21479.671,810.582,18101.027,2007.542,474.906,1915.692,10605.085,416.158,9293.194,91.785,610.413,2049.652,20.904,177.017,466.805,329.328,75.309,7354.191,334.797,7476.316,2962.922,44781000,961.881,778.363,130.395,2911.84,1.98,17.865,44.22,12.371,111.588,276.258
ARM,Armenia,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.728,8592.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3089000,26.542,0,0,0,0,0,0,0,0,0
ARM,Armenia,2009,0,0,0,0,0,0,0,0,5.378,0,0,1.085,1.085,1.999,2.29,0,2.003,0,0.004,1.696,11927.306,0,0,375.609,0,375.609,0,0,0,0,692.175,0,0,792.936,0,0,0,0,0,0,1862.105,2888000,34.446,693.56,0,0,0,0,0,0,1.385,0
ARM,Armenia,2019,0,0,0,0,0,0,0,0,7.256,0,0,2.864,2.864,2.347,2.029,0,2.363,0.013,0.003,0,0,0,0,968.283,0,968.283,0,0,0,0,793.54,0,0,685.936,0,0,0,0,0,0,2453.168,2958000,0,798.949,0,0,0,4.395,0,0,1.014,0
ABW,Aruba,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35606.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61000,2.172,0,0,0,0,0,0,0,0,0
ABW,Aruba,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41535.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89000,3.697,0,0,0,0,0,0,0,0,0
ABW,Aruba,2009,0,0,0,0,0,0,0,0,0.899,0,0,0.869,0,0,0,0.869,0.03,0,0.03,0,56558.53,0,0,8603.96,0,0,0,0,0,0,0,0,0,0,0,0,8603.96,0,0,0,8900.99,101000,5.712,297.03,0,0,0,0,0,0,297.03,0
ABW,Aruba,2019,0,0,0,0,0,0,0,0,0.991,0,0,0.845,0,0,0,0.845,0.147,0.011,0.136,0,0,0,0,7968.553,0,0,0,0,0,0,0,0,0,0,0,0,7968.553,0,0,0,9352.629,106000,0,1384.075,0,0,0,101.057,0,0,1283.019,0
N/A,Asia Pacific,1969,0,0,0,3250.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.601,0,0,0,0,0,0,0,0,0,0,3384.457,0,0,829.329,0,0,0,7230.522,0,0,0,0,0,0,0,0,0
N/A,Asia Pacific,1979,0,0,0,5472.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685.354,0,0,674.868,0,0,0,0,0,0,0,6454.76,0,0,2931.054,0,0,0,13564.972,0,0,0,0,0,0,0,0,0
